company_id,period,revenue,gross_profit,ebitda,ebit,net_income,cfo,capex,fcf,cash,total_debt,net_debt,working_capital,interest_expense,source
LWSA3.SA,2025-12-31,381.46,196.997,84.64,49.925,31.761,99.177,35.531,63.64600000000001,371.931,75.473,,270.378,1.812,Yahoo Finance public market data via yfinance
LWSA3.SA,2026-03-31,362.78,175.526,78.702,42.423,21.515,105.206,24.622,80.584,288.599,71.203,,148.21,1.671,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-03-31,69.324,40.13,6.656,-1.071,-0.756,5.555,2.777,2.7779999999999996,137.029,16.823,,131.763,0.682,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-06-30,68.635,38.672,3.653,-4.258,-4.514,-0.593,2.363,-2.956,131.862,18.507,,120.005,0.845,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-09-30,67.869,41.881,17.439,9.745,3.415,5.202,1.103,4.099,127.038,17.071,,133.295,0.735,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-12-31,65.017,39.497,6.827,-1.635,-3.528,4.367,0.451,3.916,130.68,15.803,,142.352,0.596,Yahoo Finance public market data via yfinance
NGRD3.SA,2026-03-31,65.867,37.154,1.519,-6.901,-5.199,2.053,0.293,1.76,129.769,14.666,,138.973,0.653,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-03-31,368.845,73.84,40.743,22.279,1.803,-38.528,3.219,-41.747,360.461,672.149,298.081,389.035,16.432,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-06-30,361.894,71.803,44.266,25.786,-2.092,16.079,11.176,4.9030000000000005,367.896,730.136,346.676,415.598,25.044,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-09-30,359.134,74.069,51.632,33.005,-3.094,49.909,12.736,37.173,490.094,693.815,188.655,546.848,29.643,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-12-31,473.75,90.636,65.479,32.063,-8.428,72.518,14.187,58.331,354.58,841.406,467.363,273.045,34.333,Yahoo Finance public market data via yfinance
PRNR3.SA,2026-03-31,421.197,64.021,124.615,87.779,56.765,30.029,49.322,-19.293000000000003,312.371,836.59,506.24,265.296,32.502,Yahoo Finance public market data via yfinance
TOTS3.SA,2024-12-31,1383.852,957.102,338.018,256.417,184.997,402.41,62.981,339.42900000000003,1942.162,1661.549,,1619.361,51.008,Yahoo Finance public market data via yfinance
TOTS3.SA,2025-03-31,1386.312,983.487,374.97,292.933,194.647,166.909,73.766,93.14299999999999,1943.04,1629.318,,1763.315,56.258,Yahoo Finance public market data via yfinance
TOTS3.SA,2025-06-30,1488.068,1029.455,399.732,307.373,188.718,381.329,71.954,309.375,2094.24,1692.7,,1826.038,64.506,Yahoo Finance public market data via yfinance
TOTS3.SA,2025-12-31,1259.469,897.488,372.201,299.227,265.067,344.883,57.722,287.161,1785.703,1836.282,,1897.548,69.361,Yahoo Finance public market data via yfinance
TOTS3.SA,2026-03-31,1697.046,1216.966,526.722,423.739,228.83,309.607,137.981,171.62600000000003,1432.828,4862.868,3147.438,1449.228,140.553,Yahoo Finance public market data via yfinance
VLID3.SA,2025-03-31,500.672,168.378,130.013,104.289,73.419,144.96,22.943,122.01700000000001,627.238,597.712,,980.932,17.96,Yahoo Finance public market data via yfinance
VLID3.SA,2025-06-30,490.099,158.192,137.731,108.27,54.054,26.934,22.539,4.395,497.791,573.385,,947.201,75.728,Yahoo Finance public market data via yfinance
VLID3.SA,2025-09-30,540.4,180.103,146.822,114.819,48.968,128.257,14.23,114.027,532.099,605.031,,989.277,56.535,Yahoo Finance public market data via yfinance
VLID3.SA,2025-12-31,531.392,188.046,111.288,79.935,84.825,140.553,67.835,72.718,739.332,784.594,,939.756,22.812,Yahoo Finance public market data via yfinance
VLID3.SA,2026-03-31,446.98,173.014,140.642,113.223,55.916,40.828,29.891,10.937000000000005,645.801,740.952,,814.8,25.437,Yahoo Finance public market data via yfinance
